image_path,true_label,load_stage,width,height,file_size_kb,blur_score,brightness,edge_density,fast_correct,fast_confidence,fast_latency_ms,fast_utility,balanced_correct,balanced_confidence,balanced_latency_ms,balanced_utility,heavy_correct,heavy_confidence,heavy_latency_ms,heavy_utility,best_tier
data\test\Orange__Rotten\rottenOrange (309).jpg,Orange__Rotten,light,224,224,10.2,776.19,111.09,0.134,1,0.24,62.51,0.8352,1,0.9999,126.03,0.6738,1,0.9997,136.01,0.6587,fast
data\test\Cucumber__Rotten\rottenCucumber (405).jpg,Cucumber__Rotten,burst,390,280,17.09,1117.89,193.05,0.0373,0,0.6356,123.58,-0.1852,1,0.7549,895.6,0.417,1,0.9652,3157.5,0.0041,balanced
data\test\Mango__Rotten\aspergillus_056.jpg,Mango__Rotten,heavy,224,224,6.72,228.81,126.11,0.0409,1,0.9979,538.73,0.6762,1,1.0,849.39,0.4324,1,0.9998,1278.02,0.2776,fast
data\test\Apple__Rotten\rottenApple (59).jpg,Apple__Rotten,heavy,3272,2887,672.14,9.7,182.79,0.001,0,0.8545,639.5,-0.3574,1,0.9057,1085.84,0.3535,1,0.9924,1068.79,0.3474,balanced
data\test\Orange__Rotten\rotated_by_60_Screen Shot 2018-06-12 at 11.24.08 PM.png,Orange__Rotten,light,296,218,73.13,573.02,143.79,0.0346,1,0.9986,48.57,0.8398,1,1.0,73.42,0.6914,1,1.0,58.44,0.6846,fast
data\test\Orange__Healthy\freshOrange (279).jpg,Orange__Healthy,light,362,332,132.94,376.4,148.46,0.0166,1,0.8705,16.96,0.8504,1,0.9994,66.91,0.6935,1,0.9991,116.89,0.6651,fast
data\test\Orange__Healthy\rotated_by_30_Screen Shot 2018-06-13 at 12.05.13 AM.png,Orange__Healthy,light,366,326,125.98,521.87,154.51,0.0212,1,0.9921,124.87,0.8143,1,1.0,163.53,0.6613,1,1.0,118.5,0.6646,fast
data\test\Orange__Healthy\Screen Shot 2018-06-13 at 12.17.01 AM.png,Orange__Healthy,light,326,304,117.56,26.37,205.64,0.0167,1,0.9412,89.89,0.826,1,0.9999,175.44,0.6573,1,0.992,31.45,0.6936,fast
data\test\Apple__Healthy\FreshApple (152).jpg,Apple__Healthy,heavy,2257,2487,711.2,14.63,169.01,0.0002,1,0.6323,732.14,0.6117,1,1.0,1277.28,0.2896,1,0.9991,995.65,0.3719,fast
data\test\Apple__Rotten\rotated_by_75_Screen Shot 2018-06-07 at 3.02.18 PM.png,Apple__Rotten,burst,402,360,152.89,288.47,111.66,0.0165,1,0.761,640.02,0.6424,1,1.0,2594.45,0.0159,1,0.9962,1438.59,0.224,fast
data\test\Potato__Healthy\freshPotato (420).jpg,Potato__Healthy,light,224,224,38.66,148.87,140.9,0.0248,0,0.3833,65.2,-0.1657,1,0.9952,89.19,0.6861,1,0.8957,216.83,0.6318,balanced
data\test\Mango__Healthy\freshMango (109).png,Mango__Healthy,heavy,320,258,117.4,720.86,120.85,0.0549,1,0.9283,646.79,0.6402,1,0.9961,1143.16,0.3344,1,0.9222,1218.59,0.2975,fast
data\test\Mango__Rotten\849.jpg,Mango__Rotten,heavy,224,224,6.78,150.99,112.36,0.0349,1,0.6109,408.07,0.7198,1,1.0,1185.78,0.3201,1,0.9999,1200.84,0.3034,fast
data\test\Cucumber__Healthy\freshCucumber (269).jpg,Cucumber__Healthy,burst,488,488,15.17,93.31,220.65,0.0095,1,0.6087,2614.51,0.156,1,0.9997,1762.21,0.1278,1,0.9997,2064.06,0.0153,fast
data\test\Mango__Healthy\freshMango (125).png,Mango__Healthy,heavy,320,258,102.07,692.79,127.42,0.0607,1,0.7598,778.62,0.5962,1,1.0,1185.17,0.3203,1,0.9999,1241.04,0.29,fast
data\test\Potato__Rotten\rottenPotato (306).jpg,Potato__Rotten,heavy,282,179,6.64,937.79,167.26,0.0807,1,0.7397,638.97,0.6428,1,0.9997,1302.49,0.2812,1,0.9989,1251.81,0.2864,fast
data\test\Mango__Rotten\aspergillus_137.jpg,Mango__Rotten,burst,224,224,6.42,103.93,127.1,0.0162,1,0.6944,1334.05,0.4108,1,0.9998,2087.92,0.0191,1,0.9993,1795.6,0.1049,fast
data\test\Apple__Healthy\rotated_by_30_Screen Shot 2018-06-08 at 5.29.31 PM.png,Apple__Healthy,heavy,400,422,144.73,435.6,171.73,0.0157,1,0.9969,798.08,0.5897,1,1.0,1143.16,0.3344,1,1.0,1113.79,0.3324,fast
data\test\Orange__Rotten\translation_Screen Shot 2018-06-12 at 11.35.55 PM.png,Orange__Rotten,light,430,408,198.46,668.2,159.47,0.0658,1,0.9992,427.32,0.7134,1,1.0,30.14,0.7058,1,1.0,105.6,0.6689,fast
data\test\Carrot__Rotten\rottenCarrot (355).jpg,Carrot__Rotten,heavy,262,193,8.14,1919.01,182.96,0.1435,1,0.7692,815.34,0.5839,1,1.0,1100.83,0.3485,1,0.9956,1076.54,0.3449,fast
data\test\Mango__Rotten\alternaria_083.jpg,Mango__Rotten,light,224,224,9.4,1219.47,94.3,0.0693,1,0.9982,12.25,0.8519,1,1.0,79.57,0.6893,1,1.0,109.58,0.6676,fast
data\test\Banana__Rotten\Screen Shot 2018-06-12 at 9.00.11 PM.png,Banana__Rotten,light,664,430,133.4,59.98,206.31,0.0082,1,0.9741,38.35,0.8432,1,1.0,106.81,0.6802,1,1.0,50.54,0.6873,fast
data\test\Potato__Healthy\freshPotato (160).jpg,Potato__Healthy,light,100,100,4.55,1269.85,177.52,0.0474,1,0.9579,14.66,0.8511,1,1.0,101.54,0.682,1,0.9999,117.61,0.6649,fast
data\test\Mango__Rotten\alternaria_099.jpg,Mango__Rotten,burst,224,224,8.57,958.75,106.75,0.052,1,0.9974,799.37,0.5892,1,1.0,1365.89,0.26,1,1.0,2775.05,0.0041,fast
data\test\Grape__Healthy\FreshGrape (191).jpg,Grape__Healthy,burst,905,623,83.22,77.05,140.47,0.0159,1,0.8782,999.18,0.5226,1,0.9994,49.33,0.6994,1,0.9847,1633.39,0.159,balanced
data\test\Grape__Rotten\RottenGrape (197).jpg,Grape__Rotten,light,1021,1192,125.04,15.42,123.82,0.0059,1,0.9665,26.67,0.8471,1,1.0,150.49,0.6656,1,1.0,169.23,0.6477,fast
data\test\Mango__Rotten\rottenMango (440).jpg,Mango__Rotten,light,224,224,5.06,383.02,126.39,0.0415,1,0.9787,80.0,0.8293,1,1.0,175.44,0.6573,1,0.9999,129.45,0.6609,fast
data\test\Potato__Rotten\rottenPotato (487).jpg,Potato__Rotten,burst,347,280,50.48,6654.04,107.72,0.2459,1,0.583,1355.71,0.4036,1,0.972,1895.21,0.0834,0,0.7594,1011.68,-0.6335,fast
data\test\Mango__Rotten\rottenMango (182).jpg,Mango__Rotten,heavy,224,224,10.47,385.36,109.5,0.1215,1,0.9811,611.03,0.6521,1,1.0,1160.49,0.3286,1,1.0,1228.87,0.294,fast
data\test\Potato__Healthy\freshPotato (188).jpg,Potato__Healthy,light,100,100,4.29,1219.73,183.42,0.0426,1,0.9464,27.38,0.8469,1,1.0,85.46,0.6873,1,0.9999,108.15,0.668,fast
data\test\Mango__Rotten\753.jpg,Mango__Rotten,light,224,224,6.84,139.2,101.62,0.0277,1,0.9439,12.92,0.8517,1,1.0,99.38,0.6827,1,1.0,143.07,0.6564,fast
data\test\Apple__Healthy\rotated_by_45_Screen Shot 2018-06-08 at 5.06.33 PM.png,Apple__Healthy,light,212,152,25.51,1035.74,172.91,0.0178,1,0.9783,37.46,0.8435,1,0.9999,59.83,0.6959,1,0.9999,52.36,0.6867,fast
data\test\Apple__Rotten\rotated_by_60_Screen Shot 2018-06-08 at 2.24.46 PM.png,Apple__Rotten,heavy,382,378,150.95,469.47,156.34,0.0189,1,0.9004,814.49,0.5842,1,1.0,1202.57,0.3145,1,0.9996,1158.25,0.3176,fast
data\test\Apple__Rotten\Screen Shot 2018-06-07 at 2.46.43 PM.png,Apple__Rotten,burst,356,342,158.15,21.59,178.44,0.0103,1,0.969,1569.57,0.3322,1,1.0,1379.35,0.2555,1,0.9972,2588.98,0.0041,fast
data\test\Mango__Rotten\985.jpg,Mango__Rotten,heavy,224,224,5.69,69.91,100.6,0.0194,1,0.9947,676.79,0.6302,1,1.0,1111.16,0.345,1,1.0,1024.3,0.3623,fast
data\test\Guava__Healthy\FreshGuava (151).jpg,Guava__Healthy,burst,1163,1110,124.77,30.57,165.53,0.009,1,0.9832,1073.92,0.4976,1,1.0,1243.19,0.301,1,0.9999,1633.38,0.159,fast
data\test\Apple__Healthy\vertical_flip_Screen Shot 2018-06-08 at 5.24.12 PM.png,Apple__Healthy,light,406,362,139.35,74.27,167.31,0.0216,1,0.9443,134.78,0.811,1,0.9999,60.39,0.6957,1,1.0,139.7,0.6575,fast
data\test\Potato__Healthy\freshPotato (97).jpg,Potato__Healthy,heavy,100,100,4.41,1509.64,178.36,0.0484,1,0.9514,584.65,0.6609,1,0.9999,1184.26,0.3206,1,0.9953,1267.55,0.2811,fast
data\test\Orange__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 11.36.31 PM.png,Orange__Rotten,burst,420,404,222.09,402.36,166.5,0.0737,1,0.9998,345.19,0.7408,1,1.0,2017.38,0.0426,1,1.0,1756.49,0.1179,fast
data\test\Cucumber__Rotten\rottenCucumber (364).JPG,Cucumber__Rotten,burst,4032,3024,3079.73,118.58,164.59,0.0017,1,0.9033,1422.96,0.3811,1,0.9999,1034.09,0.3708,1,1.0,1924.58,0.0618,fast
data\test\Mango__Healthy\freshMango (156).jpg,Mango__Healthy,heavy,224,224,8.8,279.71,117.65,0.0403,1,0.9787,691.69,0.6252,1,1.0,1209.76,0.3121,1,1.0,1048.35,0.3543,fast
data\test\Mango__Rotten\lasio_031.jpg,Mango__Rotten,light,224,224,8.48,469.57,94.84,0.0583,1,0.9966,71.09,0.8323,1,1.0,90.74,0.6856,1,1.0,205.06,0.6357,fast
data\test\Apple__Healthy\rotated_by_30_Screen Shot 2018-06-08 at 4.59.36 PM.png,Apple__Healthy,light,458,476,189.9,395.3,133.41,0.0168,1,0.8923,56.87,0.837,1,1.0,54.8,0.6976,1,0.9995,134.05,0.6594,fast
data\test\Strawberry__Rotten\791.jpg,Strawberry__Rotten,heavy,224,224,6.65,145.7,103.13,0.0261,1,0.8237,668.75,0.6328,1,1.0,1168.83,0.3258,1,1.0,905.44,0.402,fast
data\test\Guava__Healthy\FreshGuava (132).jpg,Guava__Healthy,light,1200,1600,119.01,59.4,146.6,0.0127,1,0.9964,63.59,0.8348,1,1.0,63.49,0.6947,1,1.0,53.52,0.6863,fast
data\test\Strawberry__Healthy\freshStrawberry (371).jpg,Strawberry__Healthy,heavy,224,224,3.5,73.65,136.34,0.0133,1,0.9218,505.34,0.6874,1,1.0,1118.95,0.3424,1,1.0,1033.07,0.3594,fast
data\test\Apple__Rotten\rotated_by_15_Screen Shot 2018-06-08 at 2.26.14 PM.png,Apple__Rotten,light,370,360,96.24,422.08,172.24,0.0176,1,0.9639,81.57,0.8288,1,1.0,107.79,0.6799,1,1.0,78.02,0.6781,fast
data\test\Carrot__Rotten\rottenCarrot (106).jpg,Carrot__Rotten,light,100,100,9.99,19152.6,121.28,0.3718,0,0.7192,76.09,-0.1694,1,0.8647,94.2,0.6844,1,0.951,174.74,0.6458,balanced
data\test\Mango__Rotten\164.jpg,Mango__Rotten,light,224,224,4.73,71.62,102.76,0.0217,1,0.9902,84.54,0.8278,1,1.0,77.9,0.6899,1,0.9923,67.07,0.6817,fast
data\test\Bellpepper__Rotten\rottenPepper (303).jpg,Bellpepper__Rotten,heavy,100,100,1.63,806.07,211.95,0.0735,0,0.4634,562.4,-0.3317,1,0.6087,1197.94,0.3161,1,0.9769,1033.07,0.3594,heavy
data\test\Banana__Rotten\translation_Screen Shot 2018-06-12 at 9.16.53 PM.png,Banana__Rotten,light,638,402,134.94,520.58,168.82,0.0195,1,0.8333,11.65,0.8521,1,0.9998,27.9,0.7066,1,0.9999,83.57,0.6762,fast
data\test\Apple__Rotten\rotated_by_15_Screen Shot 2018-06-08 at 2.31.08 PM.png,Apple__Rotten,heavy,422,392,152.29,370.64,145.22,0.0141,1,0.5526,475.16,0.6974,1,0.9999,976.55,0.39,1,0.9997,455.48,0.5521,fast
data\test\Strawberry__Healthy\83.jpg,Strawberry__Healthy,heavy,224,224,5.97,157.18,92.44,0.0183,1,0.9799,628.09,0.6464,1,1.0,1184.26,0.3206,1,1.0,1048.56,0.3542,fast
data\test\Strawberry__Healthy\730.jpg,Strawberry__Healthy,light,224,224,8.95,213.94,118.44,0.0497,1,0.8661,104.8,0.821,1,1.0,85.41,0.6874,1,1.0,63.2,0.683,fast
data\test\Apple__Healthy\rotated_by_30_Screen Shot 2018-06-08 at 5.25.28 PM.png,Apple__Healthy,light,302,308,70.35,600.91,169.47,0.017,1,0.998,31.28,0.8456,1,1.0,145.0,0.6675,1,1.0,17.07,0.6984,fast
data\test\Apple__Rotten\vertical_flip_Screen Shot 2018-06-07 at 2.20.46 PM.png,Apple__Rotten,heavy,420,338,139.58,45.11,208.06,0.0236,1,0.8747,631.18,0.6454,1,1.0,1148.88,0.3324,1,0.9979,1158.25,0.3176,fast
data\test\Mango__Healthy\138.jpg,Mango__Healthy,heavy,224,224,3.53,36.53,66.56,0.0072,1,0.9733,520.55,0.6823,1,0.9999,1168.32,0.326,1,0.9999,994.35,0.3723,fast
data\test\Strawberry__Healthy\384.jpg,Strawberry__Healthy,heavy,224,224,3.27,52.82,141.79,0.0113,1,0.9408,638.74,0.6429,1,1.0,1301.62,0.2815,1,1.0,1058.9,0.3507,fast
data\test\Strawberry__Rotten\rottenStrawberry (567).jpg,Strawberry__Rotten,heavy,224,224,3.8,113.09,148.25,0.0206,1,0.9655,195.79,0.7907,1,1.0,1075.95,0.3568,1,0.9999,923.42,0.396,fast
data\test\Mango__Rotten\104.jpg,Mango__Rotten,light,224,224,3.81,56.44,85.31,0.0182,1,0.9986,18.89,0.8497,1,1.0,41.2,0.7021,1,0.9998,195.91,0.6387,fast
data\test\Banana__Healthy\freshBanana (356).jpg,Banana__Healthy,light,224,224,7.55,203.28,125.31,0.0269,1,0.9905,37.41,0.8435,1,1.0,140.28,0.6691,1,1.0,82.07,0.6767,fast
data\test\Guava__Rotten\RottenGuava (141).jpg,Guava__Rotten,light,800,729,112.62,194.68,137.45,0.0362,1,0.777,67.08,0.8336,1,0.9941,82.34,0.6884,1,0.9997,25.29,0.6957,fast
data\test\Orange__Rotten\translation_Screen Shot 2018-06-12 at 11.42.52 PM.png,Orange__Rotten,heavy,408,334,179.25,3422.05,167.36,0.1423,1,0.9886,708.34,0.6196,1,0.9994,1209.46,0.3122,1,0.9986,1144.45,0.3222,fast
data\test\Potato__Rotten\rottenPotato (280).jpg,Potato__Rotten,heavy,256,196,5.58,433.19,129.51,0.0597,0,0.2881,684.38,-0.3724,1,0.9999,1209.8,0.3121,1,0.9923,1005.67,0.3685,heavy
data\test\Grape__Rotten\RottenGrape (5).jpg,Grape__Rotten,burst,1449,1031,74.23,8.6,128.73,0.0021,0,0.5502,1287.57,-0.5737,1,0.9854,1378.82,0.2557,1,0.5519,3157.5,0.0041,balanced
data\test\Carrot__Healthy\freshCarrot (32).jpg,Carrot__Healthy,burst,224,224,14.05,299.81,123.29,0.076,1,0.8306,126.07,0.8139,1,0.999,658.22,0.4962,1,0.9999,10134.62,0.0041,fast
data\test\Banana__Rotten\Screen Shot 2018-06-12 at 9.20.14 PM.png,Banana__Rotten,light,796,414,260.12,61.99,205.14,0.032,1,1.0,24.09,0.848,1,0.9986,75.18,0.6908,1,0.9998,87.28,0.675,fast
data\test\Apple__Healthy\saltandpepper_Screen Shot 2018-06-08 at 5.15.34 PM.png,Apple__Healthy,light,416,400,121.87,3015.28,207.76,0.036,1,0.9935,83.97,0.828,1,1.0,148.41,0.6663,1,0.9998,33.45,0.693,fast
data\test\Apple__Rotten\translation_Screen Shot 2018-06-07 at 2.46.43 PM.png,Apple__Rotten,heavy,356,342,110.82,560.85,145.72,0.0156,1,0.9486,408.59,0.7197,1,1.0,1208.41,0.3126,1,0.9955,1228.87,0.294,fast
data\test\Banana__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 9.17.38 PM.png,Banana__Rotten,heavy,618,392,168.78,278.74,120.93,0.0129,1,0.9555,735.33,0.6106,1,1.0,338.28,0.603,1,1.0,835.92,0.4252,fast
data\test\Apple__Rotten\rotated_by_45_Screen Shot 2018-06-07 at 2.52.00 PM.png,Apple__Rotten,burst,262,228,79.38,528.62,120.06,0.0301,1,0.83,1253.53,0.4377,1,0.9998,1502.01,0.2146,1,1.0,2064.06,0.0153,fast
data\test\Apple__Rotten\vertical_flip_Screen Shot 2018-06-07 at 3.04.24 PM.png,Apple__Rotten,heavy,404,404,150.81,27.97,194.57,0.0137,1,0.8604,519.36,0.6827,1,0.9999,1184.55,0.3205,1,1.0,1076.02,0.345,fast
data\test\Tomato__Healthy\freshTomato (252).jpg,Tomato__Healthy,burst,224,224,2.83,13.13,134.56,0.0096,0,0.7238,1336.09,-0.5899,1,1.0,659.27,0.4958,1,0.9999,1729.37,0.127,balanced
data\test\Banana__Rotten\rotated_by_60_Screen Shot 2018-06-12 at 9.27.31 PM.png,Banana__Rotten,heavy,658,358,101.08,378.57,125.19,0.0111,1,0.9325,643.68,0.6412,1,1.0,1161.03,0.3284,1,1.0,1166.78,0.3147,fast
data\test\Potato__Rotten\rottenPotato (395).jpg,Potato__Rotten,burst,100,100,1.62,648.77,148.3,0.0478,0,0.563,387.11,-0.2732,1,0.7403,2146.52,0.0159,1,0.5047,2447.17,0.0041,balanced
data\test\Bellpepper__Rotten\rottenPepper (650).jpg,Bellpepper__Rotten,light,271,186,6.0,345.94,102.72,0.0575,0,0.4515,35.15,-0.1557,1,0.9951,202.49,0.6483,1,0.9989,62.14,0.6834,heavy
data\test\Tomato__Healthy\freshTomato (222).jpg,Tomato__Healthy,heavy,224,224,16.29,951.85,139.06,0.1109,0,0.4244,733.52,-0.3888,1,0.9936,1202.57,0.3145,1,0.9913,998.91,0.3708,heavy
data\test\Banana__Rotten\rotated_by_15_Screen Shot 2018-06-12 at 9.13.54 PM.png,Banana__Rotten,heavy,404,282,192.34,316.0,136.35,0.0561,1,0.9123,814.49,0.5842,1,1.0,1097.19,0.3497,1,0.9999,582.41,0.5098,fast
data\test\Mango__Healthy\464.jpg,Mango__Healthy,burst,224,224,2.77,15.59,142.21,0.0065,1,0.9558,1003.74,0.521,1,1.0,1722.64,0.141,1,1.0,1728.38,0.1273,fast
data\test\Banana__Healthy\Banana__Healthy_augmented_316.jpg,Banana__Healthy,light,224,224,8.43,530.45,106.41,0.0803,1,0.715,62.68,0.8351,1,0.998,112.88,0.6782,1,0.9894,43.46,0.6896,fast
data\test\Tomato__Rotten\rottenTomato (509).jpg,Tomato__Rotten,burst,224,224,8.58,246.15,117.86,0.0506,1,0.5697,639.5,0.6426,1,1.0,1499.72,0.2154,1,0.9999,2042.34,0.0225,fast
data\test\Strawberry__Rotten\566.jpg,Strawberry__Rotten,light,224,224,11.06,621.08,118.61,0.1253,1,0.9947,26.66,0.8471,1,1.0,138.9,0.6695,1,1.0,147.57,0.6549,fast
data\test\Mango__Healthy\healthy_174.jpg,Mango__Healthy,heavy,224,224,4.32,93.88,119.51,0.0128,1,0.9528,586.89,0.6602,1,1.0,1109.14,0.3457,1,1.0,1076.54,0.3449,fast
data\test\Banana__Healthy\Banana__Healthy_augmented_260.jpg,Banana__Healthy,heavy,224,224,5.14,806.7,241.11,0.0312,1,0.9757,658.5,0.6363,1,1.0,328.86,0.6061,1,0.9998,1240.53,0.2901,fast
data\test\Orange__Healthy\rotated_by_30_Screen Shot 2018-06-13 at 12.11.02 AM.png,Orange__Healthy,heavy,154,140,23.53,1249.1,171.77,0.0471,1,0.5724,2612.16,0.156,1,1.0,1138.72,0.3358,1,0.9998,1187.71,0.3078,balanced
data\test\Banana__Healthy\Banana__Healthy_augmented_4.jpg,Banana__Healthy,light,224,224,6.01,314.27,165.23,0.0354,1,0.9511,47.46,0.8402,1,1.0,26.97,0.7069,1,1.0,45.78,0.6889,fast
data\test\Orange__Rotten\rotated_by_30_Screen Shot 2018-06-12 at 11.22.05 PM.png,Orange__Rotten,light,352,352,137.92,464.41,169.39,0.0349,1,0.9999,57.06,0.837,1,1.0,41.65,0.702,1,1.0,148.72,0.6545,fast
data\test\Orange__Healthy\rotated_by_75_Screen Shot 2018-06-13 at 12.00.35 AM.png,Orange__Healthy,light,486,456,210.48,292.28,153.91,0.0152,1,0.9741,69.17,0.8329,1,1.0,82.29,0.6884,1,0.9992,60.87,0.6838,fast
data\test\Mango__Rotten\rottenMango (352).jpg,Mango__Rotten,light,224,224,4.3,64.88,75.14,0.022,1,0.9892,16.49,0.8505,1,1.0,77.77,0.6899,1,0.9993,126.01,0.6621,fast
data\test\Banana__Healthy\rotated_by_60_Screen Shot 2018-06-12 at 9.49.32 PM.png,Banana__Healthy,heavy,618,344,80.2,383.2,152.5,0.0073,1,0.9408,612.04,0.6518,1,1.0,1051.71,0.3649,1,1.0,1227.86,0.2944,fast
data\test\Banana__Healthy\Banana__Healthy_augmented_67.jpg,Banana__Healthy,burst,224,224,6.32,540.46,160.74,0.037,1,0.9267,929.8,0.5457,1,1.0,2014.06,0.0437,1,0.9973,1729.37,0.127,fast
data\test\Strawberry__Healthy\freshStrawberry (7).jpg,Strawberry__Healthy,light,1208,1377,292.41,88.11,115.07,0.0292,1,0.9993,42.85,0.8417,1,1.0,218.36,0.643,1,0.9997,109.97,0.6674,fast
data\test\Bellpepper__Rotten\rottenPepper (322).jpg,Bellpepper__Rotten,light,275,183,6.95,2740.09,55.68,0.0952,0,0.6438,68.77,-0.1669,1,0.9946,155.63,0.6639,1,0.9983,95.9,0.6721,heavy
data\test\Banana__Rotten\rotated_by_75_Screen Shot 2018-06-12 at 9.22.32 PM.png,Banana__Rotten,light,576,438,270.5,369.08,142.1,0.0281,1,1.0,62.49,0.8352,1,1.0,25.45,0.7074,1,1.0,85.2,0.6757,fast
data\test\Mango__Healthy\594.jpg,Mango__Healthy,light,224,224,9.54,281.71,124.99,0.029,1,0.9793,72.56,0.8318,1,0.9998,104.17,0.6811,1,1.0,221.33,0.6303,fast
data\test\Potato__Healthy\freshPotato (589).jpg,Potato__Healthy,heavy,350,233,19.36,197.66,188.93,0.0457,1,0.87,676.79,0.6302,1,0.9991,1180.37,0.3219,1,0.8075,1024.85,0.3621,fast
data\test\Tomato__Healthy\freshTomato (161).png,Tomato__Healthy,light,480,322,174.64,459.38,120.03,0.0624,1,0.9965,43.5,0.8415,1,1.0,111.14,0.6788,1,1.0,59.92,0.6841,fast
data\test\Mango__Healthy\156.jpg,Mango__Healthy,light,224,224,3.6,34.45,77.25,0.0078,1,0.9508,58.22,0.8366,1,0.9997,68.6,0.693,1,0.9998,118.5,0.6646,fast
data\test\Orange__Rotten\rottenOrange (171).jpg,Orange__Rotten,heavy,2576,2688,1026.28,56.9,120.57,0.0032,1,0.7881,632.92,0.6448,1,1.0,1086.41,0.3533,1,0.7925,1033.07,0.3594,fast
data\test\Strawberry__Healthy\618.jpg,Strawberry__Healthy,heavy,224,224,8.29,198.66,126.63,0.0245,1,0.8747,642.16,0.6417,1,1.0,1180.37,0.3219,1,0.9999,1109.35,0.3339,fast
data\test\Apple__Rotten\rottenApple (251).jpg,Apple__Rotten,heavy,318,326,100.93,477.57,162.27,0.0192,1,0.8974,635.64,0.6439,1,1.0,1162.82,0.3278,1,1.0,1278.53,0.2774,fast
data\test\Mango__Healthy\freshMango (27).png,Mango__Healthy,light,320,258,105.68,1042.52,131.16,0.069,1,0.679,23.96,0.848,1,1.0,127.61,0.6733,1,0.9997,128.44,0.6613,fast
data\test\Apple__Rotten\rotated_by_60_Screen Shot 2018-06-08 at 2.46.08 PM.png,Apple__Rotten,light,316,326,90.0,561.9,158.54,0.0197,1,0.9793,51.35,0.8389,1,1.0,239.36,0.636,1,1.0,92.16,0.6734,fast
data\test\Orange__Healthy\rotated_by_45_Screen Shot 2018-06-13 at 12.02.05 AM.png,Orange__Healthy,light,380,344,154.82,443.36,148.38,0.0311,1,0.7925,183.94,0.7946,1,0.9999,90.42,0.6857,1,0.9999,179.14,0.6443,fast
data\test\Strawberry__Healthy\4.jpg,Strawberry__Healthy,light,224,224,6.29,190.84,78.55,0.0196,1,0.9923,72.42,0.8319,1,1.0,71.02,0.6922,1,1.0,107.12,0.6684,fast
data\test\Banana__Rotten\rottenBanana (515).jpg,Banana__Rotten,burst,224,224,6.77,139.21,117.57,0.025,1,0.976,797.32,0.5899,1,1.0,1243.19,0.301,1,0.9995,2261.12,0.0041,fast
data\test\Carrot__Healthy\freshCarrot (82).jpg,Carrot__Healthy,burst,224,224,13.6,302.01,127.54,0.0411,1,0.7966,1287.05,0.4265,1,1.0,620.34,0.5088,1,0.9988,2758.46,0.0041,balanced
data\test\Orange__Rotten\saltandpepper_Screen Shot 2018-06-12 at 11.42.38 PM.png,Orange__Rotten,heavy,328,278,112.26,3027.52,186.82,0.0765,1,0.5074,641.81,0.6418,1,0.9997,1162.82,0.3278,1,0.9999,1019.05,0.364,fast
data\test\Orange__Healthy\rotated_by_75_Screen Shot 2018-06-13 at 12.09.54 AM.png,Orange__Healthy,light,320,316,105.38,342.65,160.87,0.0076,1,0.9026,42.7,0.8418,1,1.0,152.24,0.6651,1,1.0,27.15,0.6951,fast
data\test\Guava__Healthy\FreshGuava (140).jpg,Guava__Healthy,light,1200,1269,139.47,28.2,155.75,0.0045,1,0.9984,117.68,0.8167,1,1.0,131.4,0.672,1,1.0,83.28,0.6763,fast
data\test\Banana__Rotten\rottenBanana (83).jpg,Banana__Rotten,heavy,3731,2439,856.17,11.25,188.26,0.0005,1,0.7935,661.87,0.6351,1,1.0,1131.47,0.3383,1,1.0,1144.45,0.3222,fast
data\test\Orange__Rotten\rottenOrange (252).jpg,Orange__Rotten,light,224,224,10.82,762.8,120.27,0.1759,1,0.9957,19.2,0.8496,1,1.0,34.29,0.7044,1,1.0,255.02,0.619,fast
data\test\Cucumber__Rotten\rottenCucumber (556).jpg,Cucumber__Rotten,heavy,100,100,5.73,3562.32,145.86,0.1209,1,0.9995,519.38,0.6827,1,1.0,627.51,0.5064,1,1.0,1265.81,0.2817,fast
data\test\Strawberry__Healthy\557.jpg,Strawberry__Healthy,light,224,224,3.33,65.83,143.56,0.0096,1,0.9121,20.31,0.8492,1,1.0,129.98,0.6725,1,0.9981,143.69,0.6562,fast
data\test\Banana__Healthy\Banana__Healthy_augmented_17.jpg,Banana__Healthy,heavy,224,224,4.11,439.78,198.85,0.0126,1,0.927,256.84,0.7703,1,1.0,1191.83,0.3181,1,1.0,1278.53,0.2774,fast
data\test\Guava__Rotten\RottenGuava (74).jpg,Guava__Rotten,heavy,3044,2762,1106.21,35.86,162.65,0.0036,0,0.2827,627.68,-0.3535,1,0.9972,1255.02,0.297,1,0.9996,995.65,0.3719,heavy
data\test\Strawberry__Rotten\rottenStrawberry (241).jpg,Strawberry__Rotten,light,224,224,10.81,583.09,113.23,0.1273,1,0.9834,40.98,0.8423,1,1.0,53.58,0.698,1,1.0,271.35,0.6136,fast
data\test\Mango__Healthy\healthy_022.jpg,Mango__Healthy,heavy,224,224,6.3,140.05,142.05,0.0209,1,0.4928,570.15,0.6657,1,0.9999,1192.34,0.3179,1,0.999,1251.81,0.2864,fast
data\test\Grape__Rotten\RottenGrape (153).jpg,Grape__Rotten,heavy,1040,780,45.65,35.56,157.42,0.0077,1,0.7268,691.69,0.6252,1,0.9935,977.06,0.3898,1,0.9999,906.45,0.4016,fast
